Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,106.37000274658203,99.37999725341797,104.4000015258789,102.01000213623047,37549900.0,100.71302795410156
2017-01-04,105.5,101.52999877929688,103.4000015258789,104.38999938964844,29980500.0,103.0627670288086
2017-01-05,105.81999969482422,101.05000305175781,104.52999877929688,101.73999786376953,24607400.0,100.44644165039062
2017-01-06,104.25,101.19999694824219,102.8499984741211,103.0999984741211,20571400.0,101.78917694091797
2017-01-09,108.0,103.5,103.5,107.27999877929688,22906200.0,105.9160385131836
2017-01-10,109.19000244140625,105.62999725341797,107.80999755859375,106.47000122070312,22023000.0,105.1163330078125
2017-01-11,106.19999694824219,104.1500015258789,106.0,105.16000366210938,13141600.0,103.82296752929688
2017-01-12,104.69999694824219,101.62000274658203,104.2300033569336,103.44000244140625,15640400.0,102.12484741210938
2017-01-13,105.0,103.05999755859375,103.5999984741211,103.43000030517578,11445500.0,102.11497497558594
2017-01-17,103.19999694824219,100.56999969482422,103.0,101.11000061035156,14515300.0,99.82447814941406
2017-01-18,103.2300033569336,99.11000061035156,100.23999786376953,102.94999694824219,16360600.0,101.64106750488281
2017-01-19,106.45999908447266,102.9800033569336,103.06999969482422,105.16000366210938,16121800.0,103.82296752929688
2017-01-20,106.80000305175781,103.12000274658203,106.08000183105469,104.01000213623047,12300600.0,102.6875991821289
2017-01-23,105.9000015258789,103.69999694824219,103.80000305175781,105.08999633789062,9247600.0,103.75386810302734
2017-01-24,107.58000183105469,104.9000015258789,105.5,107.33000183105469,10701300.0,105.96540069580078
2017-01-25,109.30000305175781,106.33000183105469,109.05000305175781,107.79000091552734,13069000.0,106.41952514648438
2017-01-26,109.94999694824219,106.69999694824219,107.9000015258789,109.6500015258789,11470000.0,108.25590515136719
2017-01-27,111.88999938964844,108.8499984741211,109.93000030517578,111.7699966430664,11799900.0,110.34891510009766
2017-01-30,111.01000213623047,107.91000366210938,110.91999816894531,110.0199966430664,12400100.0,108.6211929321289
